cube,kind,school_id,subject_id,item_id,cube_id_hash_mismatch,cube_students,fact_students,cube_questions,fact_questions,cube_possible,fact_possible,cube_score,fact_score,school_name,item_name,subject,grade
cube_school_summary,MISSING_FROM_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,7891794271,f,,17,,20,,340.0000,,218.0000,Central Florida Preparatory School,Unit 8 Test: Classifying Plants and Animals,Science,Grade 3
cube_school_summary,MISSING_FROM_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,7891742813,f,,17,,10,,306.0000,,248.0000,Central Florida Preparatory School,Unit 8 Test: Forces and Motion,Science,Grade 2
cube_school_summary,MISSING_FROM_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,7806926683,f,,13,,13,,191.0000,,140.0000,Central Florida Preparatory School,Home Sweet Habitat: Weekly Assessment: Week 1,ELA,Grade 2
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,,t,20,,40,,440.0000,,346.0000,,Central Florida Preparatory School,,Science,Grade 5
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7891846801,t,19,,20,,418.0000,,341.0000,,Central Florida Preparatory School,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7997342490,t,1,,20,,22.0000,,5.0000,,Central Florida Preparatory School,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,,t,17,,20,,340.0000,,218.0000,,Central Florida Preparatory School,,Science,Grade 3
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,7891794271,t,17,,20,,340.0000,,218.0000,,Central Florida Preparatory School,Unit 8 Test: Classifying Plants and Animals,Science,Grade 3
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,,t,17,,10,,306.0000,,248.0000,,Central Florida Preparatory School,,Science,Grade 2
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,7891742813,t,17,,10,,306.0000,,248.0000,,Central Florida Preparatory School,Unit 8 Test: Forces and Motion,Science,Grade 2
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,,t,13,,13,,191.0000,,140.0000,,Central Florida Preparatory School,,ELA,Grade 2
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,7806926683,t,13,,13,,191.0000,,140.0000,,Central Florida Preparatory School,Home Sweet Habitat: Weekly Assessment: Week 1,ELA,Grade 2
cube_school_summary,VALUE_DRIFT,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,,f,19,39,20,40,410.0000,850.0000,326.0000,672.0000,Central Florida Preparatory School,,Science,Grade 5
cube_school_summary,VALUE_DRIFT,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7997342490,f,19,20,20,20,410.0000,432.0000,326.0000,331.0000,Central Florida Preparatory School,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5
cube_school_summary,VALUE_DRIFT,019eb11c-413b-7a66-a7d8-a18f14736ede,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,,f,20,37,20,40,400.0000,740.0000,280.0000,498.0000,Central Florida Preparatory School,,Science,Grade 3
cube_school_summary,VALUE_DRIFT,019eb11c-413b-7a66-a7d8-a18f14736ede,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,,f,30,47,20,30,540.0000,846.0000,459.0000,707.0000,Central Florida Preparatory School,,Science,Grade 2
cube_school_summary,VALUE_DRIFT,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,,f,28,41,21,34,323.0000,514.0000,249.5000,389.5000,Central Florida Preparatory School,,ELA,Grade 2
