finding,school,key1,key2,detail1,detail2,detail3
F2_std_summary_zero_poison,Crestwell School,ELA.5.R.2.2,"",n_ukeys=21,n_missing_cqso=1,avg_shipped=0.7258 avg_correct=0.7621
F2_std_summary_zero_poison,Crestwell School,ELA.5.R.3.1,"",n_ukeys=10,n_missing_cqso=2,avg_shipped=0.3931 avg_correct=0.4913
F2_std_summary_zero_poison,Crestwell School,ELA.5.V.1.2,"",n_ukeys=20,n_missing_cqso=1,avg_shipped=0.7636 avg_correct=0.8038
F2_std_summary_zero_poison,Crestwell School,ELA.5.V.1.3,"",n_ukeys=24,n_missing_cqso=5,avg_shipped=0.6278 avg_correct=0.7930
F2_std_summary_zero_poison,Crestwell School,ELA.8.R.1.1,"",n_ukeys=11,n_missing_cqso=2,avg_shipped=0.6594 avg_correct=0.8060
F2_std_summary_zero_poison,Crestwell School,ELA.K12.EE.1.1,"",n_ukeys=56,n_missing_cqso=2,avg_shipped=0.7255 avg_correct=0.7524
F2_std_summary_zero_poison,Crestwell School,MA.1.AR.1.1,"",n_ukeys=13,n_missing_cqso=1,avg_shipped=0.7919 avg_correct=0.8579
F2_std_summary_zero_poison,Crestwell School,MA.1.AR.1.2,"",n_ukeys=24,n_missing_cqso=6,avg_shipped=0.6756 avg_correct=0.9008
F2_std_summary_zero_poison,Crestwell School,MA.1.AR.2.1,"",n_ukeys=5,n_missing_cqso=3,avg_shipped=0.3062 avg_correct=0.7655
F2_std_summary_zero_poison,Crestwell School,MA.1.AR.2.2,"",n_ukeys=2,n_missing_cqso=1,avg_shipped=0.3625 avg_correct=0.7250
F2_std_summary_zero_poison,Crestwell School,MA.1.AR.2.3,"",n_ukeys=24,n_missing_cqso=9,avg_shipped=0.5510 avg_correct=0.8816
F2_std_summary_zero_poison,Crestwell School,MA.1.DP.1.1,"",n_ukeys=9,n_missing_cqso=3,avg_shipped=0.5679 avg_correct=0.8518
F2_std_summary_zero_poison,Crestwell School,MA.1.GR.1.1,"",n_ukeys=10,n_missing_cqso=2,avg_shipped=0.7609 avg_correct=0.9511
F2_std_summary_zero_poison,Crestwell School,MA.1.M.2.1,"",n_ukeys=10,n_missing_cqso=2,avg_shipped=0.7598 avg_correct=0.9497
F2_std_summary_zero_poison,Crestwell School,MA.1.NSO.1.3,"",n_ukeys=27,n_missing_cqso=13,avg_shipped=0.2612 avg_correct=0.5038
F2_std_summary_zero_poison,Crestwell School,MA.1.NSO.1.4,"",n_ukeys=12,n_missing_cqso=4,avg_shipped=0.0000 avg_correct=0.0000
F2_std_summary_zero_poison,Crestwell School,MA.1.NSO.2,"",n_ukeys=11,n_missing_cqso=5,avg_shipped=0.3026 avg_correct=0.5547
F2_std_summary_zero_poison,Crestwell School,MA.1.NSO.2.1,"",n_ukeys=20,n_missing_cqso=9,avg_shipped=0.5008 avg_correct=0.9106
F2_std_summary_zero_poison,Crestwell School,MA.1.NSO.2.2,"",n_ukeys=62,n_missing_cqso=23,avg_shipped=0.5470 avg_correct=0.8696
F2_std_summary_zero_poison,Crestwell School,MA.1.NSO.2.3,"",n_ukeys=5,n_missing_cqso=1,avg_shipped=0.6133 avg_correct=0.7667
F2_std_summary_zero_poison,Crestwell School,MA.2.AR.1.1,"",n_ukeys=14,n_missing_cqso=8,avg_shipped=0.3289 avg_correct=0.7674
F2_std_summary_zero_poison,Crestwell School,MA.2.AR.2.1,"",n_ukeys=12,n_missing_cqso=6,avg_shipped=0.4015 avg_correct=0.8030
F2_std_summary_zero_poison,Crestwell School,MA.2.AR.2.2,"",n_ukeys=30,n_missing_cqso=12,avg_shipped=0.4779 avg_correct=0.7966
